Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles,name,category,muscle_group,equipment,difficulty,instructions,calories_per_minute
Standing Barbell Concentration Curl,Strength,Arms,Curl,Intermediate,Barbell,"Stand with a barbell and curl it up, focusing on biceps contraction.",Use dumbbells for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",standing barbell concentration curl,strength,arms,barbell,intermediate,"Stand with a barbell and curl it up, focusing on biceps contraction.",6.0
Dumbbell Good Morning,Strength,Lower Back,Hinge,Intermediate,Dumbbells,Hold dumbbells at your sides and bend at the hips to lower your torso.,Use lighter weights if necessary.,Keep your back straight and hinge at the hips.,Strengthen lower back and hamstrings.,Slow and controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Hip Flexors,"Core, Lower Back",dumbbell good morning,strength,lower back,dumbbells,intermediate,Hold dumbbells at your sides and bend at the hips to lower your torso.,6.0
Band-Assisted Bench Press,Strength,Chest,Push,Intermediate,"Barbell, Resistance Bands",Use resistance bands to assist the bench press movement.,Adjust band tension for difficulty.,Ensure proper bench press form.,Build chest strength with assistance.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",band-assisted bench press,strength,chest,"barbell, resistance bands",intermediate,Use resistance bands to assist the bench press movement.,6.0
Bar Dip,Strength,Arms,Push,Intermediate,Parallel Bars,"Dip between parallel bars, lowering your body and pushing back up.",Use assistance bands if needed.,Keep your shoulders stable.,Build tricep and chest strength.,Controlled descent and ascent.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers",bar dip,strength,arms,parallel bars,intermediate,"Dip between parallel bars, lowering your body and pushing back up.",6.0
Bench Press Against Band,Strength,Chest,Push,Intermediate,"Barbell, Resistance Bands",Bench press with resistance bands adding extra tension.,Adjust band tension for difficulty.,Ensure proper bench press form.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",bench press against band,strength,chest,"barbell, resistance bands",intermediate,Bench press with resistance bands adding extra tension.,6.0
Board Press,Strength,Chest,Push,Intermediate,"Barbell, Boards",Perform bench press with boards on your chest to limit range of motion.,Adjust board height for variation.,Ensure proper bench press form.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",board press,strength,chest,"barbell, boards",intermediate,Perform bench press with boards on your chest to limit range of motion.,6.0
Cable Chest Press,Strength,Chest,Push,Intermediate,Cable Machine,Press cables forward from a standing or seated position.,Adjust cable height for variation.,Keep your back straight and core engaged.,Build chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",cable chest press,strength,chest,cable machine,intermediate,Press cables forward from a standing or seated position.,6.0
Close-Grip Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press with a narrow grip to emphasize triceps.,Adjust grip width for variation.,Ensure proper bench press form.,Build tricep and chest strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",close-grip bench press,strength,chest,barbell,intermediate,Bench press with a narrow grip to emphasize triceps.,6.0
Close-Grip Feet-Up Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press with feet up and close grip to emphasize triceps.,Adjust grip width for variation.,Ensure proper bench press form.,Build tricep and chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",close-grip feet-up bench press,strength,chest,barbell,intermediate,Bench press with feet up and close grip to emphasize triceps.,6.0
Decline Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press on a decline bench to target lower chest.,Use dumbbells for variation.,Ensure proper bench press form.,Build lower chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",decline bench press,strength,chest,barbell,intermediate,Bench press on a decline bench to target lower chest.,6.0
Decline Push-Up,Strength,Chest,Push,Beginner,,Perform push-ups with feet elevated on a platform to target upper chest.,Adjust elevation height for difficulty.,Keep your body straight.,Build upper chest and shoulder strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",decline push-up,strength,chest,nan,beginner,Perform push-ups with feet elevated on a platform to target upper chest.,6.0
Dumbbell Chest Fly,Strength,Chest,Push,Intermediate,Dumbbells,Lie on a bench and fly the dumbbells out to the sides and back up.,Adjust bench angle for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",dumbbell chest fly,strength,chest,dumbbells,intermediate,Lie on a bench and fly the dumbbells out to the sides and back up.,6.0
Dumbbell Chest Press,Strength,Chest,Push,Intermediate,Dumbbells,Lie on a bench and press the dumbbells up and together.,Adjust bench angle for variation.,Keep your back flat on the bench.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",dumbbell chest press,strength,chest,dumbbells,intermediate,Lie on a bench and press the dumbbells up and together.,6.0
Dumbbell Decline Chest Press,Strength,Chest,Push,Intermediate,Dumbbells,Press dumbbells on a decline bench to target lower chest.,Use different bench angles for variation.,Ensure proper form and range of motion.,Build lower chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",dumbbell decline chest press,strength,chest,dumbbells,intermediate,Press dumbbells on a decline bench to target lower chest.,6.0
Dumbbell Floor Press,Strength,Chest,Push,Intermediate,Dumbbells,"Lie on the floor and press dumbbells up, limiting range of motion.",Use different weights for variation.,Keep your back flat on the floor.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",dumbbell floor press,strength,chest,dumbbells,intermediate,"Lie on the floor and press dumbbells up, limiting range of motion.",6.0
Feet-Up Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press with feet elevated to emphasize chest and triceps.,Adjust foot elevation for variation.,Ensure proper bench press form.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",feet-up bench press,strength,chest,barbell,intermediate,Bench press with feet elevated to emphasize chest and triceps.,6.0
Floor Press,Strength,Chest,Push,Intermediate,Barbell,"Lie on the floor and press a barbell up, limiting range of motion.",Use different weights for variation.,Keep your back flat on the floor.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",floor press,strength,chest,barbell,intermediate,"Lie on the floor and press a barbell up, limiting range of motion.",6.0
Incline Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press on an incline bench to target upper chest.,Use dumbbells for variation.,Ensure proper bench press form.,Build upper chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",incline bench press,strength,chest,barbell,intermediate,Bench press on an incline bench to target upper chest.,6.0
Incline Push-Up,Strength,Chest,Push,Beginner,,Perform push-ups with hands elevated on a platform to target lower chest.,Adjust hand elevation for difficulty.,Keep your body straight.,Build lower chest and shoulder strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",incline push-up,strength,chest,nan,beginner,Perform push-ups with hands elevated on a platform to target lower chest.,6.0
Kettlebell Floor Press,Strength,Chest,Push,Intermediate,Kettlebell,"Lie on the floor and press kettlebells up, limiting range of motion.",Use different weights for variation.,Keep your back flat on the floor.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",kettlebell floor press,strength,chest,kettlebell,intermediate,"Lie on the floor and press kettlebells up, limiting range of motion.",6.0
Kneeling Incline Push-Up,Strength,Chest,Push,Beginner,,Perform push-ups with knees on the floor and hands elevated to target chest.,Adjust hand elevation for difficulty.,Keep your body straight.,Build chest and shoulder strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",kneeling incline push-up,strength,chest,nan,beginner,Perform push-ups with knees on the floor and hands elevated to target chest.,6.0
Kneeling Push-Up,Strength,Chest,Push,Beginner,,Perform push-ups with knees on the floor to target chest.,Adjust hand position for variation.,Keep your body straight.,Build chest and shoulder strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",kneeling push-up,strength,chest,nan,beginner,Perform push-ups with knees on the floor to target chest.,6.0
Machine Chest Fly,Strength,Chest,Push,Intermediate,Machine,Sit on a machine and fly the handles out to the sides and back together.,Adjust seat height for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",machine chest fly,strength,chest,machine,intermediate,Sit on a machine and fly the handles out to the sides and back together.,6.0
Machine Chest Press,Strength,Chest,Push,Intermediate,Machine,Sit on a machine and press the handles forward to target chest.,Adjust seat height for variation.,Keep your back against the seat.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",machine chest press,strength,chest,machine,intermediate,Sit on a machine and press the handles forward to target chest.,6.0
Pec Deck,Strength,Chest,Push,Intermediate,Machine,Sit on a machine and fly the handles out to the sides and back together.,Adjust seat height for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",pec deck,strength,chest,machine,intermediate,Sit on a machine and fly the handles out to the sides and back together.,6.0
Pin Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press with safety pins to limit range of motion.,Adjust pin height for variation.,Ensure proper bench press form.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",pin bench press,strength,chest,barbell,intermediate,Bench press with safety pins to limit range of motion.,6.0
Push-Up,Strength,Chest,Push,Beginner,,Perform push-ups on the floor to target chest and triceps.,Adjust hand position for variation.,Keep your body straight.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",push-up,strength,chest,nan,beginner,Perform push-ups on the floor to target chest and triceps.,6.0
Push-Up Against Wall,Strength,Chest,Push,Beginner,,Perform push-ups with hands against a wall to target chest.,Adjust hand height for difficulty.,Keep your body straight.,Build chest and shoulder strength.,Controlled.,Warm-up,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",push-up against wall,strength,chest,nan,beginner,Perform push-ups with hands against a wall to target chest.,6.0
Push-Ups With Feet in Rings,Strength,Chest,Push,Intermediate,Rings,Perform push-ups with feet elevated in rings for instability.,Adjust ring height for variation.,Keep your body straight.,Build chest and core strength.,Controlled.,Main workout,Stability,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",push-ups with feet in rings,strength,chest,rings,intermediate,Perform push-ups with feet elevated in rings for instability.,6.0
Resistance Band Chest Fly,Strength,Chest,Push,Intermediate,Resistance Bands,Fly the resistance bands out to the sides and back together.,Adjust band tension for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",resistance band chest fly,strength,chest,resistance bands,intermediate,Fly the resistance bands out to the sides and back together.,6.0
Standing Cable Chest Fly,Strength,Chest,Push,Intermediate,Cable Machine,Fly the cables out to the sides and back together from a standing position.,Adjust cable height for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",standing cable chest fly,strength,chest,cable machine,intermediate,Fly the cables out to the sides and back together from a standing position.,6.0
Standing Resistance Band Chest Fly,Strength,Chest,Push,Intermediate,Resistance Bands,Fly the resistance bands out to the sides and back together from standing.,Adjust band tension for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers",standing resistance band chest fly,strength,chest,resistance bands,intermediate,Fly the resistance bands out to the sides and back together from standing.,6.0
Band External Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Resistance Bands,Rotate the shoulder externally using resistance bands.,Adjust band tension for variation.,Keep the elbow close to the body.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,"Infraspinatus, Teres Minor",Deltoids,Subscapularis,"Core, Scapular Stabilizers",band external shoulder rotation,strength,shoulders,resistance bands,beginner,Rotate the shoulder externally using resistance bands.,6.0
Band Internal Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Resistance Bands,Rotate the shoulder internally using resistance bands.,Adjust band tension for variation.,Keep the elbow close to the body.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,Subscapularis,Deltoids,"Infraspinatus, Teres Minor","Core, Scapular Stabilizers",band internal shoulder rotation,strength,shoulders,resistance bands,beginner,Rotate the shoulder internally using resistance bands.,6.0
Barbell Rear Delt Row,Strength,Shoulders,Pull,Intermediate,Barbell,Row the barbell to the rear delts from a bent-over position.,Use different grips for variation.,Keep your back straight and core engaged.,Strengthen rear delts and upper back.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers",barbell rear delt row,strength,shoulders,barbell,intermediate,Row the barbell to the rear delts from a bent-over position.,6.0
Behind the Neck Press,Strength,Shoulders,Push,Advanced,Barbell,Press the barbell overhead from behind the neck.,Perform seated for more stability.,Avoid locking your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",behind the neck press,strength,shoulders,barbell,advanced,Press the barbell overhead from behind the neck.,6.0
Cable Rear Delt Row,Strength,Shoulders,Pull,Intermediate,Cable Machine,Row the cable to the rear delts from a seated position.,Adjust cable height for variation.,Keep your back straight and core engaged.,Strengthen rear delts and upper back.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers",cable rear delt row,strength,shoulders,cable machine,intermediate,Row the cable to the rear delts from a seated position.,6.0
Dumbbell Horizontal Internal Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Dumbbells,Rotate the shoulder internally with a dumbbell from a horizontal position.,Use lighter weights if needed.,Keep the elbow at shoulder height.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,Subscapularis,Deltoids,"Infraspinatus, Teres Minor","Core, Scapular Stabilizers",dumbbell horizontal internal shoulder rotation,strength,shoulders,dumbbells,beginner,Rotate the shoulder internally with a dumbbell from a horizontal position.,6.0
Dumbbell Horizontal External Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Dumbbells,Rotate the shoulder externally with a dumbbell from a horizontal position.,Use lighter weights if needed.,Keep the elbow at shoulder height.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,"Infraspinatus, Teres Minor",Deltoids,Subscapularis,"Core, Scapular Stabilizers",dumbbell horizontal external shoulder rotation,strength,shoulders,dumbbells,beginner,Rotate the shoulder externally with a dumbbell from a horizontal position.,6.0
Face Pull,Strength,Shoulders,Pull,Intermediate,Cable Machine,"Pull the cable towards your face, leading with the elbows.",Adjust cable height for variation.,Keep your back straight and core engaged.,Strengthen rear delts and upper back.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers",face pull,strength,shoulders,cable machine,intermediate,"Pull the cable towards your face, leading with the elbows.",6.0
Front Hold,Strength,Shoulders,Hold,Intermediate,Weight Plate,Hold a weight plate in front of your body with straight arms.,Adjust weight for difficulty.,Keep your back straight and core engaged.,Build shoulder and core stability.,Static.,Warm-up,Strength,Deltoids,Upper Chest,Latissimus Dorsi,"Core, Scapular Stabilizers",front hold,strength,shoulders,weight plate,intermediate,Hold a weight plate in front of your body with straight arms.,6.0
Lying Dumbbell External Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Dumbbells,Lie on your side and rotate the shoulder externally with a dumbbell.,Use lighter weights if needed.,Keep the elbow close to the body.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,"Infraspinatus, Teres Minor",Deltoids,Subscapularis,"Core, Scapular Stabilizers",lying dumbbell external shoulder rotation,strength,shoulders,dumbbells,beginner,Lie on your side and rotate the shoulder externally with a dumbbell.,6.0
Lying Dumbbell Internal Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Dumbbells,Lie on your side and rotate the shoulder internally with a dumbbell.,Use lighter weights if needed.,Keep the elbow close to the body.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,Subscapularis,Deltoids,"Infraspinatus, Teres Minor","Core, Scapular Stabilizers",lying dumbbell internal shoulder rotation,strength,shoulders,dumbbells,beginner,Lie on your side and rotate the shoulder internally with a dumbbell.,6.0
Machine Lateral Raise,Strength,Shoulders,Lift,Intermediate,Machine,Lift the handles of the machine to the sides to target shoulders.,Adjust seat height for variation.,Keep a slight bend in your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",machine lateral raise,strength,shoulders,machine,intermediate,Lift the handles of the machine to the sides to target shoulders.,6.0
Machine Shoulder Press,Strength,Shoulders,Push,Intermediate,Machine,Press the handles of the machine overhead to target shoulders.,Adjust seat height for variation.,Keep your back against the seat.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",machine shoulder press,strength,shoulders,machine,intermediate,Press the handles of the machine overhead to target shoulders.,6.0
Monkey Row,Strength,Shoulders,Pull,Intermediate,Dumbbells,"Perform a bent-over row with dumbbells, leading with the elbows.",Use different weights for variation.,Keep your back straight and core engaged.,Strengthen rear delts and upper back.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",monkey row,strength,shoulders,dumbbells,intermediate,"Perform a bent-over row with dumbbells, leading with the elbows.",6.0
Overhead Press,Strength,Shoulders,Push,Intermediate,Barbell or Dumbbells,Press the weight overhead from a standing position.,Use different grips for variation.,Avoid locking your elbows.,Build shoulder and arm strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",overhead press,strength,shoulders,barbell or dumbbells,intermediate,Press the weight overhead from a standing position.,6.0
Plate Front Raise,Strength,Shoulders,Lift,Intermediate,Weight Plate,Raise a weight plate in front of your body to shoulder height.,Use different weights for variation.,Keep your back straight and core engaged.,Build shoulder and arm strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",plate front raise,strength,shoulders,weight plate,intermediate,Raise a weight plate in front of your body to shoulder height.,6.0
Power Jerk,Strength,Shoulders,Push,Advanced,Barbell,Dip your knees and use your legs to help press the barbell overhead.,Perform with dumbbells for variation.,Avoid locking your elbows.,Build shoulder and leg strength.,Explosive.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Lower Body Stabilizers",power jerk,strength,shoulders,barbell,advanced,Dip your knees and use your legs to help press the barbell overhead.,6.0
Reverse Cable Flyes,Strength,Shoulders,Pull,Intermediate,Cable Machine,Fly the cables out to the sides from a bent-over position.,Adjust cable height for variation.,Keep a slight bend in your elbows.,Build rear delts and upper back strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers",reverse cable flyes,strength,shoulders,cable machine,intermediate,Fly the cables out to the sides from a bent-over position.,6.0
Reverse Dumbbell Flyes,Strength,Shoulders,Pull,Intermediate,Dumbbells,Fly the dumbbells out to the sides from a bent-over position.,Use different weights for variation.,Keep a slight bend in your elbows.,Build rear delts and upper back strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers",reverse dumbbell flyes,strength,shoulders,dumbbells,intermediate,Fly the dumbbells out to the sides from a bent-over position.,6.0
Reverse Machine Fly,Strength,Shoulders,Pull,Intermediate,Machine,Sit on a machine and fly the handles out to the sides from a bent-over position.,Adjust seat height for variation.,Keep a slight bend in your elbows.,Build rear delts and upper back strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers",reverse machine fly,strength,shoulders,machine,intermediate,Sit on a machine and fly the handles out to the sides from a bent-over position.,6.0
Seated Dumbbell Shoulder Press,Strength,Shoulders,Push,Intermediate,Dumbbells,Press the dumbbells overhead from a seated position.,Perform standing for more core engagement.,Avoid locking your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",seated dumbbell shoulder press,strength,shoulders,dumbbells,intermediate,Press the dumbbells overhead from a seated position.,6.0
